al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
87,89,89,6147,69,7430.0
50,1,64,6174,40,7407.0
49,2,77,7190,54,8266.0
54,2,71,7829,49,8909.0
48,2,72,6973,46,8146.0
53,1,84,6468,54,7572.0
52,2,70,6880,42,8130.0
51,2,56,6657,35,7763.0
54,3,64,6747,44,7821.0
75,2,65,7028,41,8406.0
51,2,71,6290,49,7385.0
63,2,72,7586,47,8902.0
48,2,69,7104,42,8465.0
46,1,62,6556,42,7739.0
47,2,67,7524,45,8876.0
48,1,52,6641,32,7723.0
52,2,68,6930,44,8151.0
69,2,67,6949,46,8347.0
55,3,70,7578,48,8662.0
48,2,68,7461,44,8705.0
51,3,56,8399,36,9482.0
54,2,71,6760,43,8047.0
55,3,61,6285,41,7360.0
51,2,65,6382,40,7596.0
46,2,66,6809,46,7877.0
46,2,57,7013,35,8178.0
52,2,69,6999,47,8062.0
61,2,68,6117,43,7324.0
53,2,63,6956,41,8018.0
47,2,65,6793,45,7935.0
88,2,66,5814,45,6975.0
52,2,64,7664,43,8911.0
53,2,73,6889,51,8187.0
45,2,64,7012,40,8092.0
54,2,68,6676,48,7872.0
43,2,68,7691,45,8928.0
51,3,77,7216,51,8415.0
51,3,76,6503,51,7591.0
57,2,71,6502,48,7735.0
40,2,68,7440,48,8498.0
49,1,68,7565,47,9135.0
62,1,57,6674,36,7757.0
48,1,61,7224,39,8304.0
53,2,61,6685,39,7995.0
66,1,84,6949,54,8059.0
55,2,79,6970,56,8335.0
41,2,61,7308,39,8537.0
42,1,57,6441,36,7500.0
55,2,72,6671,49,7936.0
55,2,51,6709,31,7768.0
49,2,82,7041,54,8130.0
59,2,69,7726,47,8963.0
182,1,53,6317,33,7673.0
54,2,67,7126,43,8258.0
51,1,71,7380,48,8681.0
41,2,67,7243,45,8587.0
47,1,71,6254,48,7646.0
51,2,68,7217,45,8390.0
53,1,67,8254,42,9416.0
55,3,73,7165,46,8319.0
53,2,54,7590,32,8752.0
58,2,67,6154,45,7365.0
50,2,73,7592,47,8913.0
49,1,71,6917,49,8065.0
52,2,81,7211,49,8450.0
52,2,54,6070,33,7219.0
51,2,64,6967,40,8080.0
68,2,69,7499,45,8793.0
44,2,64,7188,38,8278.0
39,2,66,7401,44,8471.0
55,3,72,6814,47,7931.0
55,2,80,7025,59,8113.0
64,2,71,6764,49,7932.0
54,2,61,7378,42,8442.0
45,2,65,6964,41,8154.0
50,1,67,6612,46,7757.0
55,2,73,6750,52,7940.0
47,2,58,7311,38,8365.0
49,2,69,6558,45,7783.0
47,2,82,7008,53,8230.0
46,2,60,6854,35,8003.0
46,2,67,6644,45,7703.0
52,2,73,7180,47,8480.0
50,1,74,6695,52,7770.0
44,3,68,7085,45,8350.0
49,2,90,6732,58,7990.0
49,2,58,7208,35,8267.0
54,2,64,7217,43,8547.0
47,2,80,7482,53,8702.0
55,1,57,6963,32,8113.0
54,2,55,7034,36,8240.0
54,2,68,7461,46,8875.0
48,3,61,7247,42,8339.0
53,1,60,7375,34,8531.0
45,3,60,7403,37,8666.0
49,3,64,6844,42,8186.0
51,3,69,6643,47,7875.0
51,1,65,7297,44,8375.0
49,2,80,6704,55,7828.0
57,3,74,6769,48,8021.0
